iter	Passed	Remaining
546	21729	37857
547	21768	37816
548	21806	37773
549	21845	37732
550	21888	37699
551	21933	37668
552	21972	37627
553	22012	37587
554	22055	37553
555	22096	37517
556	22137	37479
557	22176	37438
558	22214	37395
559	22253	37353
560	22291	37311
561	22330	37270
562	22370	37230
563	22413	37197
564	22456	37161
565	22497	37125
566	22538	37087
567	22577	37046
568	22616	37005
569	22656	36966
570	22700	36932
571	22743	36897
572	22787	36865
573	22830	36831
574	22869	36790
575	22908	36748
576	22946	36706
577	22985	36664
578	23024	36624
579	23065	36586
580	23103	36544
581	23145	36507
582	23185	36468
583	23226	36431
584	23269	36395
585	23308	36354
586	23347	36313
587	23387	36274
588	23426	36233
589	23466	36193
590	23516	36170
591	23556	36130
592	23598	36094
593	23640	36057
594	23680	36017
595	23719	35977
596	23757	35934
597	23796	35893
598	23836	35854
599	23878	35817
600	23921	35782
601	23960	35742
602	24000	35701
603	24038	35660
604	24080	35623
605	24118	35580
606	24155	35537
607	24196	35498
608	24239	35464
609	24280	35425
610	24320	35385
611	24359	35345
612	24401	35308
613	24445	35274
614	24487	35237
615	24528	35199
616	24567	35159
617	24613	35128
618	24657	35094
619	24699	35057
620	24737	35015
621	24778	34976
622	24819	34938
623	24862	34902
624	24901	34862
625	24941	34822
626	24980	34781
627	25019	34739
628	25057	34698
629	25102	34664
630	25141	34624
631	25180	34583
632	25223	34547
633	25266	34512
634	25305	34471
635	25347	34434
636	25391	34400
637	25435	34365
638	25478	34329
639	25517	34288
640	25556	34248
641	25595	34206
642	25637	34169
643	25681	34135
644	25721	34096
645	25759	34053
646	25798	34012
647	25835	33969
648	25874	33928
649	25915	33889
650	25955	33849
651	25994	33809
652	26035	33770
653	26079	33735
654	26119	33696
655	26157	33654
656	26195	33611
657	26237	33574
658	26277	33534
659	26319	33497
660	26359	33457
661	26404	33423
662	26446	33387
663	26488	33350
664	26527	33309
665	26566	33267
666	26607	33229
667	26646	33187
668	26685	33147
669	26723	33105
670	26762	33063
671	26801	33023
672	26840	32982
673	26879	32940
674	26918	32900
675	26958	32860
676	26997	32819
677	27037	32779
678	27076	32739
679	27118	32702
680	27161	32664
681	27201	32625
682	27244	32589
683	27286	32551
684	27325	32510
685	27363	32469
686	27407	32434
687	27450	32397
688	27492	32360
689	27532	32321
690	27576	32285
691	27617	32247
692	27658	32207
693	27699	32169
694	27736	32126
695	27776	32086
696	27816	32047
697	27856	32007
698	27900	31971
699	27943	31935
700	27985	31898
701	28024	31857
702	28064	31816
703	28103	31775
704	28142	31735
705	28182	31694
706	28223	31657
707	28263	31617
708	28303	31577
709	28344	31537
710	28386	31500
711	28426	31461
712	28465	31420
713	28505	31380
714	28547	31342
715	28590	31305
716	28631	31266
717	28674	31230
718	28713	31189
719	28754	31150
720	28802	31119
721	28843	31080
722	28882	31039
723	28921	30998
724	28961	30958
725	29004	30921
726	29045	30883
727	29087	30845
728	29129	30807
729	29172	30770
730	29213	30732
731	29251	30689
732	29294	30653
733	29338	30617
734	29383	30582
735	29427	30546
736	29467	30507
737	29508	30468
738	29547	30427
739	29586	30386
740	29626	30345
741	29663	30303
742	29703	30263
743	29746	30226
744	29787	30187
745	29832	30152
746	29873	30113
747	29915	30075
748	29959	30038
749	29999	29999
750	30040	29960
751	30081	29921
752	30121	29881
753	30163	29843
754	30204	29804
755	30246	29766
756	30290	29730
757	30331	29691
758	30371	29651
759	30415	29615
760	30458	29577
761	30499	29538
762	30538	29498
763	30578	29457
764	30618	29418
765	30662	29381
766	30707	29345
767	30752	29310
768	30795	29273
769	30833	29232
770	30873	29191
771	30914	29152
772	30954	29112
773	30996	29074
774	31046	29043
775	31096	29012
776	31139	28975
777	31181	28937
778	31222	28898
779	31266	28861
780	31310	28824
781	31349	28784
782	31389	28743
783	31429	28703
784	31468	28662
785	31505	28619
786	31546	28580
787	31591	28544
788	31632	28505
789	31674	28467
790	31716	28428
791	31758	28389
792	31801	28352
793	31843	28314
794	31885	28276
795	31925	28235
796	31967	28197
797	32006	28155
798	32047	28116
799	32086	28075
800	32126	28035
801	32166	27995
802	32208	27957
803	32250	27918
804	32291	27879
805	32333	27840
806	32370	27798
807	32411	27758
808	32450	27716
809	32490	27676
810	32528	27634
811	32567	27593
812	32605	27551
813	32649	27515
814	32689	27475
815	32732	27437
816	32772	27397
817	32816	27360
818	32858	27321
819	32897	27280
820	32936	27239
821	32979	27201
822	33025	27166
823	33069	27129
824	33115	27094
825	33158	27056
826	33198	27016
827	33237	26975
828	33274	26932
829	33312	26891
830	33350	26849
831	33388	26807
832	33427	26766
833	33465	26724
834	33502	26681
835	33541	26640
836	33578	26597
837	33615	26555
838	33653	26514
839	33690	26471
840	33727	26428
841	33764	26386
842	33802	26343
843	33840	26302
844	33877	26260
845	33915	26218
846	33952	26176
847	33991	26134
848	34029	26093
849	34067	26051
850	34106	26010
851	34144	25968
852	34181	25926
853	34220	25885
854	34258	25844
855	34296	25802
856	34336	25762
857	34374	25721
858	34410	25677
859	34448	25635
860	34486	25594
861	34524	25552
862	34563	25512
863	34601	25470
864	34641	25430
865	34678	25388
866	34718	25347
867	34755	25306
868	34793	25264
869	34830	25222
870	34869	25181
871	34908	25140
872	34947	25099
873	34986	25059
874	35025	25018
875	35065	24978
876	35104	24937
877	35143	24896
878	35181	24855
879	35221	24814
880	35260	24774
881	35295	24731
882	35334	24690
883	35373	24649
884	35411	24608
885	35449	24566
886	35486	24524
887	35526	24484
888	35565	24443
889	35602	24401
890	35639	24359
891	35676	24317
892	35714	24276
893	35752	24234
894	35789	24192
895	35829	24153
896	35869	24112
897	35908	24072
898	35947	24031
899	35986	23990
900	36026	23951
901	36064	23909
902	36101	23867
903	36141	23827
904	36180	23787
905	36219	23746
906	36260	23706
907	36298	23666
908	36337	23625
909	36374	23583
910	36413	23543
911	36454	23503
912	36493	23462
913	36530	23421
914	36567	23379
915	36606	23338
916	36643	23296
917	36681	23255
918	36719	23214
919	36757	23173
920	36795	23131
921	36831	23089
922	36869	23048
923	36906	23006
924	36943	22964
925	36981	22923
926	37019	22882
927	37057	22841
928	37096	22800
929	37134	22759
930	37171	22718
931	37212	22678
932	37255	22640
933	37297	22602
934	37339	22563
935	37381	22524
936	37424	22486
937	37465	22447
938	37505	22407
939	37544	22367
940	37583	22326
941	37625	22287
942	37664	22247
943	37707	22209
944	37749	22170
945	37789	22130
946	37828	22089
947	37869	22050
948	37909	22010
949	37950	21971
950	37989	21931
951	38028	21890
952	38067	21849
953	38108	21810
954	38147	21770
955	38187	21729
956	38230	21691
957	38274	21654
958	38314	21614
959	38357	21576
960	38400	21537
961	38440	21497
962	38479	21457
963	38520	21418
964	38560	21377
965	38597	21336
966	38636	21296
967	38676	21256
968	38719	21217
969	38761	21178
970	38800	21138
971	38840	21098
972	38879	21057
973	38920	21018
974	38958	20977
975	38999	20938
976	39040	20899
977	39084	20860
978	39123	20820
979	39163	20780
980	39201	20739
981	39241	20699
982	39279	20658
983	39319	20618
984	39361	20579
985	39403	20540
986	39442	20500
987	39482	20460
988	39525	20422
989	39569	20384
990	39613	20346
991	39652	20305
992	39691	20265
993	39729	20224
994	39770	20184
995	39812	20146
996	39856	20108
997	39895	20067
998	39934	20027
999	39974	19987
1000	40014	19947
1001	40053	19907
1002	40092	19866
1003	40130	19825
1004	40167	19784
1005	40207	19744
1006	40250	19705
1007	40292	19666
1008	40335	19627
1009	40377	19589
1010	40419	19550
1011	40460	19510
1012	40498	19469
1013	40537	19429
1014	40576	19388
1015	40614	19348
1016	40654	19307
1017	40695	19268
1018	40739	19230
1019	40780	19190
1020	40819	19150
1021	40858	19110
1022	40896	19069
1023	40936	19028
1024	40977	18989
1025	41020	18951
1026	41062	18911
1027	41101	18871
1028	41141	18831
1029	41180	18791
1030	41218	18750
1031	41257	18710
1032	41298	18670
1033	41340	18631
1034	41384	18593
1035	41426	18554
1036	41468	18514
1037	41507	18474
1038	41550	18435
1039	41591	18396
1040	41630	18355
1041	41669	18315
1042	41710	18275
1043	41750	18235
1044	41791	18196
1045	41834	18157
1046	41875	18117
1047	41915	18078
1048	41957	18038
1049	41996	17998
1050	42034	17957
1051	42074	17917
1052	42113	17877
1053	42154	17837
1054	42196	17798
1055	42241	17760
1056	42281	17720
1057	42321	17680
1058	42361	17640
1059	42403	17601
1060	42444	17561
1061	42485	17522
1062	42525	17482
1063	42565	17442
1064	42607	17402
1065	42650	17364
1066	42706	17330
1067	42747	17291
1068	42787	17251
1069	42828	17211
1070	42868	17171
1071	42907	17131
1072	42947	17091
1073	42987	17050
1074	43029	17011
1075	43070	16972
1076	43110	16931
1077	43150	16891
1078	43188	16851
1079	43240	16815
1080	43284	16777
1081	43328	16738
1082	43372	16700
1083	43416	16661
1084	43457	16621
1085	43498	16582
1086	43541	16543
1087	43584	16504
